Study,Events,Total,Components
Abizanda et al. 2011,27,186,BBC+CS+M
Avendano  et al. 2006,3,21,BBC+MR+M+NH+O+PC+RFO+RSD+SH
Bonaventura et al. 2007,0,30,M+NH+RFO+RSD+SH
Chen et al. 2017,13,196,M+NH+RFO
Dong et al. 2020,2,50,BBC+MR+M+NH+O+PC+RSD+SH
Hempenius et al. 2013,12,127,AOM+BBC+IOI+MR+M+NH+PC+RFO+RSD+SH
Hosie et al. 2020,4,20,M+NH+RFO+RSD+SH
Jeffs et al. 2013,15,305,M+RFO
Lundstrom et al. 2007,56,102,BBC+IOI+M+NH+O+PC+SH
Marcantonio et al. 2001,20,62,BBC+CS+IOI+MR+M+NH+O+PC+RFO+RSD
Martinez et al. 2012,8,144,CS+RFO+RSD
Partridge et al. 2017,9,85,AOM+CS+MR+M+NH
Wang et al. 2020,4,152,BBC+IOI+MR+M+NH+O+PC+RFO+SH
Young et al. 2020,24,343,CS+IOI+M+NH+PC+RFO+RSD+SH
Abizanda et al. 2011,39,184,CONTROL
Avendano  et al. 2006,12,29,CONTROL
Bonaventura et al. 2007,5,30,CONTROL
Chen et al. 2017,27,179,CONTROL
Dong et al. 2020,9,53,CONTROL
Hempenius et al. 2013,19,133,CONTROL
Hosie et al. 2020,8,25,CONTROL
Jeffs et al. 2013,21,343,CONTROL
Lundstrom et al. 2007,73,97,CONTROL
Marcantonio et al. 2001,32,64,CONTROL
Martinez et al. 2012,19,143,CONTROL
Partridge et al. 2017,22,91,CONTROL
Wang et al. 2020,25,129,CONTROL
Young et al. 2020,33,370,CONTROL
